ID_CATEGORIA;NOMBRE_CATEGORIA;CATEGORIA_PADRE
542;Rieles y estores (Accesorios);293
569;Complementos cortinería;293
571;Set cortina madera (Barra + accesorios);293
572;Set cortina metal (Barra + accesorios);293
573;Visillos;293
574;Cortinas de baño;293
1058;Soportes cromados;293
1059;Soportes dorados;293
1060;Soportes blancos;293
1061;Soportes madera;293
1062;Soportes forja;293
1063;Soportes zirconio;293
1108;Cortinas de tiras;293
319;Conteras;10
320;Colgadores y ganchos multiuso;10
1064;Colgadores adhesivos;320
1065;Colgadores de clavar y para cuadros;320
1066;Colgadores y placas para muebles;320
1067;Ganchos multiuso;320
1068;Cuelgaescobas;320
321;Imanes;10
375;Rejillas ventilación;10
354;Herrajes;10
376;Materiales varios de construcción;10
712;Guardavivos y otros;376
713;Tapajuntas y pisacables;376
714;Malla revoco;376
441;Reguladores de gas;10
442;Mascotas;10
443;Persianas / Burletes;10
936;Cinta para persianas;443
937;Recogedores y accesorios persiana;443
938;Topes de persiana;443
939;Bureltes metálicos con cepillo;443
940;Burletes de caucho;443
941;Burletes de espuma;443
942;Buerletes metálicos con goma;443
1078;Burletes PVC con cepillo;443
1079;Burletes PVC con goma;443
464;Navidad;10
478;Aire Comprimido;10
31;Enchufes y racores;478
479;Máquinas y herramientas aire comprimido;478
480;Mangueras aire comprimido;478
575;Barras y complementos armario;10
1033;Buzones y Comunidades;10
595;Bolsas agua caliente;10
715;Tapajuntas y pisacables;10
819;Espuertas y gavetas albañil;10
896;Ruedas;10
785;Ruedas Industriales;896
786;Ruedas de carretilla;896
789;Ruedas domésticas;896
1155;Balanzas y Basculas;10
1049;Soportes TV;10
1050;Soportes electrodomésticos y cocina;10
1051;Soportes para somier;10
1052;Palomillas;10
1053;Ganchos multiuso;10
1054;Ganchos carnicero;10
1055;Cierres de caja y de cartola;10
1056;Angulos;10
1114;Bidones;10
1156;Lupas;10
1159;Relojes;10
16;ELECTRICIDAD;0
80;Pilas;16
81;Linternas;16
84;Mecanismos;16
86;Programadores;16
87;Telefonia / TV / Video;16
88;Extensibles / Prolongadores / Guias;16
89;Polimetros y Tester;16
129;Iluminacion jardín;16
685;Focos y recambios;16
678;Bombillas LED;16
679;Bombillas fluorescentes;16
681;Bombillas incandescentes especiales;16
682;Tubos fluorescentes;16
684;Bombillas halogenas;16
686;Plafones;16
687;Faroles;16
743;Timbres / Alarmas / Domótica;16
857;Lámparas portátiles;16
858;Luces de Navidad;16
859;Bases y clavijas Industriales;16
860;Bases y clavijas domésticas;16
861;Bases múltiples;16
862;Adaptadores;16
863;Fichas de empalme;16
864;Cinta aislante;16
865;Cajas de empotrar;16
866;Fusibles;16
867;Canaletas;16
868;Portalámparas;16
869;Interruptores;16
870;Herramientas para electricidad ;16
871;Tijeras electricista;870
872;Navajas y pelacables electricista;870
873;Alicates electricista;870
874;Destornilladores electricistas;870
875;Guias pasahilos;870
876;Fundas para herramientas;870
1098;Grapillas para cable;16
17;VENTILACION Y CALEFACCION;0
186;Ventiladores;17
193;Estufas radiantes y halógenas;17
192;Termoventiladores y termoconvectores;17
188;Calor en jardín;17
194;Radiadores;17
195;Estufas eléctricas y gas infrarrojos;17
197;Accesorios para chimeneas ;17
198;Aspirador de cenizas;17
545;Estufas de leña;17
196;Estufas de leña;545
546;Codos para estufas;545
853;Tubos para estufa ;545
854;Sombreros para estufas;545
855;Plafones / Reducciones y Abrazaderas estufa;545
856;Repuestos para Estufas de leña;545
75;BAÑO Y FONTANERIA;0
356;Accesorios baño;75
565;Filtros agua ;75
245;Grifería lavabo y bidé;75
246;Grifería ducha y bañera;75
247;Grifería temporizada;75
250;Grifos de Fregadero;75
251;Grifos jardín rústicos;75
252;Sopletes y estaño;75
253;Latiguillos;75
254;Sifones y válvulas;75
255;Sumideros, calderetas y botes sifónicos;75
355;Cortinas de baño;75
564;Agarres ducha;75
366;Barras cortina baño;75
377;Evacuación;75
378;Tapones de goma y cadenas;75
379;Grifos y gomas lavadora;75
380;Racores y juntas;75
382;Atomizadores;75
411;Monturas grifo;75
412;Embellecedores / Plafones / Soportes;75
413;Cisternas;75
901;Descargadores de cisterna;413
902;Boyas y flotadores cisternas;413
903;Despiece de cisterna;413
904;Gomas y juntas para cisternas;413
905;Tanques de cisterna;413
431;Flexos y manerales ducha;75
547;Grifos esfera y llaves de paso;75
550;Tubos salida de humos;75
629;Materiales varios fontaneria;75
742;Herramientas fontanería;75
790;Tapas WC;75
791;Alfombras de baño;75
906;Grifería especial;75
907;Accesorios para fregaderos;75
908;Grifos para fuentes;75
909;Grifos de latón;75
99;CERRAJERIA;0
207;Cerraduras Seguridad y antipánico;99
385;Cerraduras Azbe;207
390;Cerraduras Tesa;207
396;Cerraduras Ucem;207
403;Cerraduras Fac;207
435;Cerraduras Jis;207
210;Cerraduras puerta cristal y portero electrónico;99
400;Cerraduras Jis;210
436;Cerraduras CBM;210
438;Cerraduras Iseo;210
447;Cerraduras Wolfpack;210
211;Cerraduras de buzón y mueble;99
212;Manillas, manillones y pomos de paso;99
215;Números y Letras;99
217;Cajas fuertes de empotrar;99
218;Cajas fuertes de sobreponer ;99
219;Cajas de caudales y archivo de llaves;99
220;Candados Arco normal;99
221;Candados Persiana / Empotrar / Tijera;99
222;Candados antirrobo vehículos;99
223;Portacandados;99
383;Cerraduras de embutir Azbe;99
384;Cerraduras de sobreponer Azbe;99
386;Cerrojos Azbe;99
387;Cilindros Azbe;99
388;Cerraduras de embutir Tesa;99
389;Cerraduras de sobreponer Tesa;99
391;Cerrojos Tesa;99
392;Cilindros Tesa;99
420;Cerrojos Wolfpack;99
394;Cerraduras de embutir Ucem;99
395;Cerraduras de sobreponer Ucem;99
445;Cilindros Wolfpack;99
398;Cilindros Ucem;99
399;Cerraduras de sobreponer Jis;99
401;Cerraduras de sobreponer Fac;99
404;Cerrojos Fac;99
405;Cilindros Fac;99
406;Cerraduras de embutir CVL;99
407;Cerraduras de sobreponer CVL;99
408;Cilindros CVL;99
409;Cerrojos CVL;99
415;Cerraduras de embutir Lince;99
416;Cerraduras de sobreponer Lince;99
417;Cerrojos Lince;99
418;Cilindros Lince;99
421;Pomos Tesa;99
422;Pomos Ucem;99
423;Pomos Wolfpack;99
1034;Buzones y Comunidades;99
428;Muelles cierrapuertas Ucem;99
429;Muelles cierrapuertas Telesco;99
430;Muelles cierrapuertas Wolfpack;99
434;Muelles cierrapuertas Tesa;99
437;Cerraduras de embutir Iseo;99
439;Cilindros Iseo;99
440;LLaveros, portaetiquetas, aldabillas, garras de marco;99
1002;Candados Arco largo;99
1003;Candados de combinación;99
1006;Bisagras de cazoleta;99
1007;Bisagras zincadas;99
1008;Bisagras latonadas;99
1010;Bisagra de piano;99
1011;Bisagras de seguridad;99
1012;Bisagras tipo T;99
1013;Bisagras Ucem;99
1015;Pernios torneados;99
1017;Pernios de soldar;99
1018;Pernios latonados con arandela;99
1019;Pernios inoxidables y niquelados;99
1020;Pasadores bicromatados;99
1021;Pasadores latonados;99
1022;Pasadores niquel;99
1023;Pasadores de embutir;99
1024;Picaportes Azbe;99
1025;Picaportes Ucem;99
1026;Picaportes Tesa;99
1027;Picaportes Wolfpack;99
1028;Mirillas ;99
1029;Cadenas  de seguridad puertas;99
1030;Topes para puertas;99
1031;Golpetes;99
1032;Pistones a gas para muebles;99
1097;Cerraduras de sobreponer Wolfpack;99
1102;Bisagras desmontables;99
1111;Pasadores con base plástico;99
1143;ORDEN Y LIMPIEZA;0
957;Tijeras de costura y confección;1143
960;Armarios;1143
962;Módulos estantería (Kit);1143
287;Cajas de herramientas y Carros;1143
292;Tender / Planchar / Lavar;1143
312;Tendederos;292
313;Mesas de plancha;292
314;Perchas;292
596;Cestos ropa;292
1099;Fundas protectoras electrodomésticos;292
304;Termómetros;1143
318;Felpudos;1143
322;Papeleras;1143
324;Cubos;1143
325;Cepillos, recogedores y fregonas;1143
326;Limpiacristales y Plumeros;1143
327;Productos de limpieza;1143
958;Tijeras de higiene personal;1143
963;Estantería ranurada;1143
964;Accesorios estantería ranurada;963
965;Bateas estantería ranurada;963
966;Perfil estantería ranurada;963
627;Fieltros / Topes / Protectores muebles;1143
1069;Topes para puertas y persianas;627
1070;Deslizantes muebles;627
1071;Fieltros y protectores adhesivos muebles;627
1072;Tapatornillos adhesivos;627
1073;Conteras de goma;627
1074;Conteras de plástico;627
1075;Lágrimas de silicona;627
628;Seguridad hogar / Protección infantil;1143
1046;Zapateros y pongotodo;1143
1047;Casetas perro y metálicas;1143
1048;Gavetas apliables;1143
1087;Láminas adhesivas y Vinilos electroestáticos;1143
1104;Quitapelusas;1143
1110;Bayetas y Estropajos;1143
1116;Carros de compra;1143
1117;Bolsas guarda ropa;1143
1120;Taburetes;1143
1122;Pequeño electrodoméstico;1143
1126;Corchos pared y Pizarras magnéticas;1143
1140;MOBILIARIO Y COMPLEMENTOS JARDIN;0
104;Sillas;1140
105;Mesas;1140
106;Tumbonas de jardín;1140
108;Hamacas Colgantes;1140
114;Bancos;1140
115;Balancines;1140
116;Sombrillas;1140
117;Bases Sombrillas;1140
118;Pergolas;1140
120;Duchas de jardín;1140
121;Celosias y vallas;1140
122;Casetas Perros;1140
124;Losetas Madera;1140
125;Jardineras / Macetas / Platos;1140
128;Fuentes y Grifos;1140
130;Barbacoas y Accesorios;1140
510;Exterminadores de insectos y plagas;1140
162;Mantenimiento muebles madera;1140
164;Baules;1140
167;Buzones de jardín;1140
172;Armarios y estantes;1140
360;Columpios y Juegos de verano;1140
688;Cojines para mobiliario jardín;1140
690;Fundas para muebles de jardin;1140
1100;Veletas;1140
1115;Huertos urbanos;1140
1141;PISCINA, PLAYA, CAMPING Y NIEVE;0
509;Senderismo;1141
169;Flotadores;1141
1083;Piscinas infantiles e inflables;1141
362;Buceo y natación;1141
500;Tiendas campaña y sacos de dormir;1141
501;Lámparas y hornillos;1141
503;Neveras;1141
504;Camas y colchones;1141
506;Parasoles;1141
507;Mesas / Sillas / Tumbonas;1141
944;Limpieza y mantenimiento de piscinas;1141
945;Dispensadores de cloro y termómetros;1141
946;Cobertores y tapices piscinas;1141
947;Hidrobombas y filtros piscinas;1141
948;Infladores;1141
949;Escaleras para piscinas;1141
950;Mangueras para piscinas;1141
951;Accesorios varios para piscinas;1141
952;Piscinas estructura metálica;1141
953;Piscinas Fast Set;1141
955;Spas y Piscinas Hidromasaje ;1141
1105;Barcas / Kayak / Tablas Paddle Surf;1141
1160;Juegos para la nieve;1141
